year,competition,mens_400_free_pdf,womens_400_free_pdf
2016,FINA/AIRWEAVE SWIMMING WORLD CUP 2016,https://www.omegatiming.com/File/000110000A00000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/000110000A01001702FFFFFFFFFFFF02.pdf
2016,FINA/AIRWEAVE SWIMMING WORLD CUP 2016,https://www.omegatiming.com/File/000110000B00000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/000110000B01001702FFFFFFFFFFFF02.pdf
2016,FINA/AIRWEAVE SWIMMING WORLD CUP 2016,https://www.omegatiming.com/File/000110000C00000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/000110000C01001702FFFFFFFFFFFF02.pdf
2017,2017 ARENA PRO SWIM SERIES,https://www.omegatiming.com/File/000111010B00000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/000111010B01001702FFFFFFFFFFFF02.pdf
2017,2017 ARENA PRO SWIM SERIES,https://www.omegatiming.com/File/000111010C00000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/000111010C01001702FFFFFFFFFFFF02.pdf
2017,2017 ARENA PRO SWIM SERIES,https://www.omegatiming.com/File/000111010D00000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/000111010D01001702FFFFFFFFFFFF02.pdf
2017,2017 PHILLIPS 66 NATIONAL CHAMPIONSHIIPS AND WORLD CHAMPIONSHIP TRIALS,https://www.omegatiming.com/File/000111010E00000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/000111010E01001702FFFFFFFFFFFF02.pdf
2017,FINA/AIRWEAVE SWIMMING WORLD CUP 2017,https://www.omegatiming.com/File/00011101010101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011101010201EF04FFFFFFFFFFFF01.pdf
2017,FINA/AIRWEAVE SWIMMING WORLD CUP 2017,,https://www.omegatiming.com/File/00011101020201EF04FFFFFFFFFFFF01.pdf
2017,FINA/AIRWEAVE SWIMMING WORLD CUP 2017,https://www.omegatiming.com/File/00011101030101EF04FFFFFFFFFFFF01.pdf,
2017,6TH FINA WORLD JUNIOR CHAMPIONSHIPS 2017,https://www.omegatiming.com/File/000111010000000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/000111010001001702FFFFFFFFFFFF02.pdf
2017,FINA/AIRWEAVE SWIMMING WORLD CUP 2017,https://www.omegatiming.com/File/00011101060101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011101060201EF04FFFFFFFFFFFF01.pdf
2017,FINA/AIRWEAVE SWIMMING WORLD CUP 2017,https://www.omegatiming.com/File/00011101040101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011101040201EF04FFFFFFFFFFFF01.pdf
2017,FINA/AIRWEAVE SWIMMING WORLD CUP 2017,https://www.omegatiming.com/File/00011101070101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011101070201EF04FFFFFFFFFFFF01.pdf
2017,FINA/AIRWEAVE SWIMMING WORLD CUP 2017,https://www.omegatiming.com/File/00011101080101EF01FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011101080201EF04FFFFFFFFFFFF01.pdf
2017,FINA/AIRWEAVE SWIMMING WORLD CUP 2017,https://www.omegatiming.com/File/00011101090101EF04FFFFFFFFFFFF01.pdf,
2018,2018 TYR PRO SWIM SERIES,https://www.omegatiming.com/File/000112010000000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/000112010001001702FFFFFFFFFFFF02.pdf
2018,2018 TYR PRO SWIM SERIES,https://www.omegatiming.com/File/000112010100000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/000112010101001702FFFFFFFFFFFF02.pdf
2018,2018 PHILLIPS 66 NATIONAL CHAMPS,https://www.omegatiming.com/File/00011201020101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011201020201EF04FFFFFFFFFFFF01.pdf
2018,2018 SPEEDO JUNIOR NATIONAL CHAMPIONSHIPS,https://www.omegatiming.com/File/00011201030101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011201030201EF04FFFFFFFFFFFF01.pdf
2018,FINA SWIMMING WORLD CUP 2018,https://www.omegatiming.com/File/00011201050101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011201050201EF04FFFFFFFFFFFF01.pdf
2018,FINA SWIMMING WORLD CUP 2018,https://www.omegatiming.com/File/00011201060101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011201060201EF04FFFFFFFFFFFF01.pdf
2018,FINA SWIMMING WORLD CUP 2018,https://www.omegatiming.com/File/00011201070101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011201070201EF04FFFFFFFFFFFF01.pdf
2018,FINA SWIMMING WORLD CUP 2018,https://www.omegatiming.com/File/00011201080101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011201080201EF04FFFFFFFFFFFF01.pdf
2018,FINA SWIMMING WORLD CUP 2018,https://www.omegatiming.com/File/00011201090101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011201090201EF04FFFFFFFFFFFF01.pdf
2018,FINA SWIMMING WORLD CUP 2018,https://www.omegatiming.com/File/000112010A0101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/000112010A0201EF04FFFFFFFFFFFF01.pdf
2018,FINA SWIMMING WORLD CUP 2018,https://www.omegatiming.com/File/000112010B0101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/000112010B0201EF04FFFFFFFFFFFF01.pdf
2018,2018 WINTER NATIONAL CHAMPIONSHIPS,https://www.omegatiming.com/File/00011201040101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011201040201EF04FFFFFFFFFFFF01.pdf
2019,2019 TYR PRO SWIM SERIES #3 RICHMOND,https://www.omegatiming.com/File/00011301080101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011301080201EF04FFFFFFFFFFFF01.pdf
2019,FINA CHAMPIONS SWIM SERIES,https://www.omegatiming.com/File/000113010E0101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/000113010E0201EF04FFFFFFFFFFFF01.pdf
2019,FINA CHAMPIONS SWIM SERIES,https://www.omegatiming.com/File/000113010F0101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/000113010F0201EF04FFFFFFFFFFFF01.pdf
2019,FINA CHAMPIONS SWIM SERIES,https://www.omegatiming.com/File/00011301090101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011301090201EF04FFFFFFFFFFFF01.pdf
2019,2019 TYR PRO SWIM SERIES #5 CLOVIS,https://www.omegatiming.com/File/000113010A0101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/000113010A0201EF04FFFFFFFFFFFF01.pdf
2019,2019 PHILLIPS 66 NATIONAL CHAMPS,https://www.omegatiming.com/File/000113010B0101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/000113010B0201EF04FFFFFFFFFFFF01.pdf
2019,FINA SWIMMING WORLD CUP 2019,https://www.omegatiming.com/File/00011301000101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011301000201EF04FFFFFFFFFFFF01.pdf
2019,2019 SPEEDO JUNIOR NATIONAL CHAMPIONSHIPS,https://www.omegatiming.com/File/000113010C0101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/000113010C0201EF04FFFFFFFFFFFF01.pdf
2019,FINA SWIMMING WORLD CUP 2019,https://www.omegatiming.com/File/00011301010101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011301010201EF04FFFFFFFFFFFF01.pdf
2019,FINA SWIMMING WORLD CUP 2019,https://www.omegatiming.com/File/00011301020101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011301020201EF04FFFFFFFFFFFF01.pdf
2019,7TH FINA WORLD JUNIOR SWIMMING CHAMPIONSHIPS 2019,https://www.omegatiming.com/File/00011301100101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011301100201EF04FFFFFFFFFFFF01.pdf
2019,FINA SWIMMING WORLD CUP 2019,https://www.omegatiming.com/File/00011301040101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011301040201EF04FFFFFFFFFFFF01.pdf
2019,FINA SWIMMING WORLD CUP 2019,https://www.omegatiming.com/File/00011301030101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011301030201EF04FFFFFFFFFFFF01.pdf
2019,FINA SWIMMING WORLD CUP 2019,https://www.omegatiming.com/File/00011301050101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011301050201EF04FFFFFFFFFFFF01.pdf
2019,FINA SWIMMING WORLD CUP 2019,https://www.omegatiming.com/File/00011301060101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011301060201EF04FFFFFFFFFFFF01.pdf
2019,2019 TOYOTA U.S. OPEN,https://www.omegatiming.com/File/000113010D0101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/000113010D0201EF04FFFFFFFFFFFF01.pdf
2020,FINA CHAMPIONS SWIM SERIES,https://www.omegatiming.com/File/00011402000101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011402000201EF04FFFFFFFFFFFF01.pdf
2020,2019-20 -TYR PRO SWIM SERIES #2 KNOXVILLE,https://www.omegatiming.com/File/00011402020101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011402020201EF04FFFFFFFFFFFF01.pdf
2020,FINA CHAMPIONS SWIM SERIES,https://www.omegatiming.com/File/00011402010101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011402010201EF04FFFFFFFFFFFF01.pdf
2020,2020 TOYOTA U.S. OPEN CHAMPIONSHIPS-GREENSBORO,https://www.omegatiming.com/File/00011402100101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011402100201EF04FFFFFFFFFFFF01.pdf
2021,2021 TYR PRO SWIM SERIES - SAN ANTONIO,https://www.omegatiming.com/File/00011500000101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011500000201EF04FFFFFFFFFFFF01.pdf
2021,2021 TYR PRO SWIM SERIES - INDIANAPOLIS,https://www.omegatiming.com/File/00011500010101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011500010201EF04FFFFFFFFFFFF01.pdf
2021,2020 U.S. OLYMPIC TEAM TRIALS WAVE I,https://www.omegatiming.com/File/00011500020101EF04FFFFFFFFFFFF01.pdf,https://www.omegatiming.com/File/00011500020201EF04FFFFFFFFFFFF01.pdf
